,TradeType,TradeResult,Result,EMA_9,EMA_20,RSI,Name,SDate,EDate,RatioB/W,StochasticRsi,Stochastic
3422,BullishReversal,0,-3351.4011840820312,995.4279861915894,1013.6107944824224,38.65460567112339,processed_ABB.csv,2016-11-02,2016-12-19,33.2144640799078,0.5884347614118276,41.505359346844514
3423,BullishReversal,0,-4044.5068359375,992.4497436821486,1008.7984901071565,38.875218732871666,processed_ABB.csv,2016-11-04,2016-12-19,30.332646109716745,0.6584613114139106,42.72862291286483
3424,BullishReversal,0,-3351.4011840820312,985.0248044097914,1001.0872127616046,32.02545066826934,processed_ABB.csv,2016-11-09,2016-12-19,50.90572595580587,0.4272264203841311,54.030979148348194
3425,BullishReversal,0,-3076.3204345703125,977.8859601117196,993.041962260864,39.48118853613873,processed_ABB.csv,2016-11-15,2016-12-19,30.620456231453918,0.799027475323962,72.88795886033365
3426,BullishReversal,1,207.720703125,953.7675515759236,960.6519989606662,41.84158745213289,processed_ABB.csv,2016-12-12,2016-12-19,11.355693668389646,0.8190677621114645,43.2122982945743
3427,BullishReversal,1,1450.536376953125,1318.0567549162297,1322.5351924419433,41.393505776046624,processed_ABB.csv,2017-07-18,2017-07-24,3.51827179291968,0.0,50.04873558239021
3428,BullishReversal,1,3173.8671875,1246.107270133313,1266.1194455154996,39.49611695664114,processed_ABB.csv,2017-08-18,2017-09-28,9.219835101510093,0.6834712705283713,51.086930044985486
3429,BullishReversal,1,4243.0572509765625,1240.9576860884454,1259.8876747339182,36.19484924416226,processed_ABB.csv,2017-08-22,2017-09-28,23.000192086054554,0.4979091984462834,40.14494349288875
3430,BullishReversal,1,4316.592041015625,1235.355985502855,1253.6316912088098,34.3913874661162,processed_ABB.csv,2017-08-24,2017-09-28,3.1603876499987313,0.3965378061202164,34.5652620840645
3431,BullishReversal,1,366.77734375,1252.761941738698,1262.078680437813,39.93731086155567,processed_ABB.csv,2017-10-11,2017-11-06,38.49831932773109,0.0764899095419579,15.465391010121635
3432,BullishReversal,0,-13069.17431640625,1394.9693475834188,1410.282812194561,44.47252141391975,processed_ABB.csv,2018-02-22,2018-05-03,8.280146294237872,0.1592556406401984,16.205038267773816
3433,BullishReversal,0,-1140.093017578125,1256.5117131817688,1284.894251242676,41.471500776358326,processed_ABB.csv,2019-08-07,2019-08-27,16.379342927751125,1.0,43.589688805324386
3434,BullishReversal,1,1741.953857421875,1306.614778425538,1315.451752259637,36.53102017347601,processed_ABB.csv,2019-12-23,2020-01-06,17.7780992856497,0.0,21.37738031882295
3435,BullishReversal,1,1158.298095703125,1292.2874669814069,1306.5625499293742,40.021219515881704,processed_ABB.csv,2019-12-26,2020-01-06,5.666666666666667,0.1663054509197252,39.49772223495629
3436,BullishReversal,0,-35786.39904785156,1308.797181971777,1315.4823546078726,38.95107614375282,processed_ABB.csv,2020-02-13,2020-06-11,10.95409007997755,0.0,27.80504205975816
3437,BullishReversal,0,-18995.001220703125,1112.280528892853,1167.9594042278825,19.37182687000484,processed_ABB.csv,2020-03-13,2020-06-11,103.76177320912304,0.0,44.63333526407425
3438,BullishReversal,1,9125.396728515625,769.1596426322885,812.7594080616753,23.99924758182,processed_ABB.csv,2020-05-27,2020-06-11,10.514981134867204,0.2137650408325094,9.463840807052003
3439,BullishReversal,0,-1165.5,906.9045280678174,918.3145707034364,40.41932950524661,processed_ABB.csv,2020-09-22,2020-10-29,35.05216832637328,0.0,21.59456317554994
3440,BullishReversal,1,1774.498291015625,1450.0259400903249,1464.9423178089078,39.8876157292768,processed_ABB.csv,2021-03-19,2021-03-30,11.26990189470531,0.0,35.64028401462584
3441,BullishReversal,0,-49.352294921875,2219.150484667369,2255.4530978199728,33.761570629400225,processed_ABB.csv,2022-02-14,2022-03-07,31.46246337890625,0.0,18.29703005910049
3442,BullishReversal,1,2359.397705078125,2117.4514934214894,2134.9184108908285,43.071753211189176,processed_ABB.csv,2022-03-15,2022-04-19,3.094715815562173,0.4552612219959035,38.36818040664226
3443,BullishReversal,1,5381.5,2128.6724863111917,2138.9649976095748,42.38228396818007,processed_ABB.csv,2022-04-27,2022-05-25,20.47245255205454,0.0,21.21415327907984
3444,BullishReversal,0,-838.798828125,4171.370017984308,4194.932157431682,41.21284474417779,processed_ABB.csv,2023-10-19,2023-11-01,20.53065066478409,0.4343480074303826,32.0730833209364
3445,BullishReversal,1,40716.5,4501.664545194423,4582.437823505603,42.125728488483,processed_ABB.csv,2024-02-13,2024-04-19,5.501463386362977,0.4903074254249059,23.96579683674294
3446,BullishReversal,1,3693.904026031494,59.688791645381315,62.12701926068939,15.70049345577182,processed_IDFCFIRSTB.csv,2015-12-09,2016-01-04,3.3846027442280833,,16.249974568684895
3447,BullishReversal,1,1323.0050468444824,46.11819563675759,46.65607310597895,28.52560182425509,processed_IDFCFIRSTB.csv,2016-06-24,2016-07-05,10.000152590218967,0.0,21.686775782288414
3448,BullishReversal,1,4681.794708251953,59.95870645506815,61.33635136544928,29.034406454136914,processed_IDFCFIRSTB.csv,2017-05-25,2017-07-21,15.000267032883192,0.0921408036781351,11.34022888968329
3449,BullishReversal,0,-902.6938781738281,50.6981917010739,52.07257060194921,32.43530602094451,processed_IDFCFIRSTB.csv,2018-03-08,2018-04-11,7.999961853172862,0.3443521171919405,25.217404572860055
3450,BullishReversal,0,-19836.25,45.075984974412336,45.10291392035475,44.33312138037575,processed_IDFCFIRSTB.csv,2018-09-12,2018-11-13,2.6250226498946185,0.0,15.107955920766276
3451,BullishReversal,1,1726.1956100463867,34.63298552044602,35.69237679861792,40.41077534552373,processed_IDFCFIRSTB.csv,2018-10-31,2018-11-13,4.8000030517578125,0.9736064240330295,39.75900292031323
3452,BullishReversal,1,3210.3054428100586,43.1028179906726,44.178314096388064,35.357130373232806,processed_IDFCFIRSTB.csv,2019-06-13,2019-07-05,4.333341810459927,0.0368700749109886,19.62615956134534
3453,BullishReversal,1,2977.201892852783,41.764151624098965,42.424169780335895,35.384855370680484,processed_IDFCFIRSTB.csv,2019-07-22,2019-07-29,inf,0.0,11.811026460188367
3454,BullishReversal,0,-39459.30194854736,40.158941320035346,41.21386107868405,31.409070046573063,processed_IDFCFIRSTB.csv,2020-02-18,2020-04-21,2.5000063578449447,0.148859629834991,13.2075634661352
3455,BullishReversal,1,26735.0,26.202785067677578,31.038676418191574,16.558849053603808,processed_IDFCFIRSTB.csv,2020-03-20,2020-04-21,8.571419229323,0.0004035824714368,11.190478006998696
3456,BullishReversal,1,28106.004123687744,23.49378245857244,28.79107072220644,18.608068560837182,processed_IDFCFIRSTB.csv,2020-03-24,2020-04-21,5.666683620919853,0.1722755099965752,7.038838524701044
3457,BullishReversal,0,-3085.5,50.68176964101515,51.980664494072634,25.5154286047252,processed_IDFCFIRSTB.csv,2021-08-05,2021-09-24,2.5714246788845836,0.0,20.93022740035432
3458,BullishReversal,1,3333.1462326049805,41.739857736114715,43.31951306469686,33.47002190031736,processed_IDFCFIRSTB.csv,2022-03-07,2022-03-21,12.500190737773709,0.5166461982682808,29.239755645303777
3459,BullishReversal,1,39934.7043838501,35.278170128930405,36.546363293991995,34.91443081973907,processed_IDFCFIRSTB.csv,2022-05-26,2022-09-23,8.666819256885633,0.6582300524143735,21.929821626118223
3460,BullishReversal,1,53375.55240249634,33.08190621183999,34.296307338875664,26.25450309338295,processed_IDFCFIRSTB.csv,2022-06-17,2022-09-23,inf,0.0,11.57023047710204
3461,BullishReversal,1,60977.25252151489,32.02841996031881,33.54210192246766,25.86838979329052,processed_IDFCFIRSTB.csv,2022-06-21,2022-09-23,5.250035762991502,0.1965551154049964,14.666671752929688
3462,BullishReversal,0,-1578.6026763916016,58.22971363427809,58.4702175999987,44.15816621672904,processed_IDFCFIRSTB.csv,2023-02-14,2023-03-10,4.499971389879647,0.4606252318759097,49.59350198643456
3463,BullishReversal,0,-5756.405067443832,92.63674391792624,93.21484749342912,40.47893960976899,processed_IDFCFIRSTB.csv,2023-10-09,2023-11-17,inf,0.0,12.10527921977796
3464,BullishReversal,1,638.0035400390625,87.60985218391676,87.71657051918908,42.73350541072172,processed_IDFCFIRSTB.csv,2024-01-03,2024-01-15,21.000305180437934,0.0,19.620210378302335
3465,BullishReversal,1,2965.0,85.91481221567665,86.76343092006996,35.67127174836442,processed_IDFCFIRSTB.csv,2024-01-10,2024-01-15,15.00022888532845,0.0,17.808253538260875
3466,BullishReversal,1,612.0,82.46376160201126,83.49753922368696,40.66424194262156,processed_IDFCFIRSTB.csv,2024-02-09,2024-02-19,7.399993896484375,0.5512799723179006,28.31325024335943
3467,BullishReversal,1,450.79803466796875,78.43712986253752,79.81603657319657,38.18286825016483,processed_IDFCFIRSTB.csv,2024-05-13,2024-05-28,9.399993896484375,0.1987748519663412,18.264845273048792
3468,BullishReversal,0,-2143.2013626098633,111.18255908719736,113.00448390375009,41.36567948896325,processed_EXIDEIND.csv,2010-02-16,2010-03-05,4.090886392010119,0.646434002139526,52.586211054465544
3469,BullishReversal,1,3140.8960876464844,158.06285080419002,160.3126713161327,41.711135313332285,processed_EXIDEIND.csv,2010-10-27,2010-11-24,10.199951171875,0.0,8.193659956775274
3470,BullishReversal,0,-14039.5,160.32690055096327,162.95273766907314,35.036122625859164,processed_EXIDEIND.csv,2011-01-11,2011-02-23,10.307807878304146,0.0591714544316304,19.08930425808355
3471,BullishReversal,0,-15704.5,157.95457071392914,160.98074891514725,42.15725497855448,processed_EXIDEIND.csv,2011-01-14,2011-02-23,10.499752050352852,0.3267836009426575,35.02626595825987
3472,BullishReversal,1,1464.8952941894531,134.4140137330074,143.54303406651383,25.02970398729775,processed_EXIDEIND.csv,2011-01-31,2011-02-23,7.096180594273195,0.1674651070274137,38.28919756947061
3473,BullishReversal,1,4901.551216125488,128.0361684191548,134.48573107256925,27.289817420766,processed_EXIDEIND.csv,2011-02-10,2011-02-23,5.781223178012298,0.4302141830738777,40.909092035034824
3474,BullishReversal,1,2419.956069946289,155.22796609580016,156.5717957905524,36.57480768589013,processed_EXIDEIND.csv,2011-06-20,2011-07-21,4.18182259552362,0.0,35.56486263894121
3475,BullishReversal,0,-3097.5,121.6395596089156,125.6460130504062,41.84857967646287,processed_EXIDEIND.csv,2011-11-02,2011-12-13,11.000190737772785,0.5959305688311956,43.27867851882689
3476,BullishReversal,0,-7766.898826599121,134.16418834015062,137.70676811729015,34.816904601483614,processed_EXIDEIND.csv,2012-04-23,2012-05-30,17.667446592065108,0.0,8.921134240587355
3477,BullishReversal,0,-307.1953125,132.37488484101303,133.5542022187427,41.783799258684255,processed_EXIDEIND.csv,2012-07-24,2012-08-09,10.856962246054541,0.0068495530776959,22.456118935032816
3478,BullishReversal,1,231.60235595703125,129.0108117085124,130.6159204545313,41.69556143391312,processed_EXIDEIND.csv,2012-08-03,2012-08-09,18.99877937137626,0.3971201305917253,33.333298012066095
3479,BullishReversal,1,2252.245635986328,140.27444517230194,142.80891427801242,41.61686201387808,processed_EXIDEIND.csv,2012-11-12,2012-12-13,32.49801647848642,0.3840911481723186,23.404255319148938
3480,BullishReversal,0,-238.20242309570312,134.7276209705641,138.61100204680733,31.105098365288228,processed_EXIDEIND.csv,2013-01-22,2013-02-22,42.499027274464275,0.0269943826957835,20.134231280778405
3481,BullishReversal,1,15707.997436523438,122.39192273996834,124.56013780092412,39.03101767975649,processed_EXIDEIND.csv,2013-04-12,2013-06-07,6.000114442663692,0.2125679096783049,28.152473378775685
3482,BullishReversal,1,2907.4524993896484,124.02415385899752,128.27954641268474,32.49145471513799,processed_EXIDEIND.csv,2013-06-25,2013-07-30,4.2,0.2153673837303241,21.663431922205575
3483,BullishReversal,1,1201.8551177978356,180.17838519404492,181.4449019777671,44.211089416026574,processed_EXIDEIND.csv,2015-04-01,2015-04-20,18.00081383519837,0.0545099949389314,14.003901676782014
3484,BullishReversal,0,-5240.703948974609,156.20292618091705,159.53005411281006,35.94483044514483,processed_EXIDEIND.csv,2015-05-29,2015-06-29,53.49679584986268,0.4670548401031681,30.83330790201823
3485,BullishReversal,1,2839.1979370117188,151.10458502063528,152.89411029715598,41.36545033503195,processed_EXIDEIND.csv,2015-09-04,2015-10-01,4.5555932318334404,0.0772819598837154,16.465881911723343
3486,BullishReversal,1,753.3475799560659,125.58315689410254,127.1246742613395,43.881149172952895,processed_EXIDEIND.csv,2016-02-12,2016-02-19,5.518528146846152,0.8089619770534328,72.07549473024754
3487,BullishReversal,1,3719.094360351589,222.28417204512883,224.95614679475617,36.3862285214046,processed_EXIDEIND.csv,2017-06-23,2017-07-11,3.399993896484394,0.0,22.93326822916697
3488,BullishReversal,0,-360.0,215.59174056231453,214.24298917154715,44.66066558396538,processed_EXIDEIND.csv,2017-09-25,2017-10-19,10.610989607175346,0.0,27.14024690891371
3489,BullishReversal,1,2332.8014831542832,209.6641035120895,211.8636574480749,41.44495209349549,processed_EXIDEIND.csv,2018-02-28,2018-03-19,4.692222822132224,0.243943293699174,28.46434755773521
3490,BullishReversal,0,-578.1454467773438,270.91776552165175,275.3069758815449,39.80264628942693,processed_EXIDEIND.csv,2018-09-21,2018-09-27,45.85635190513558,0.2525778352975086,39.23509815117957
3491,BullishReversal,0,-3211.004638671864,266.685292586236,270.76540977016606,41.27203483001676,processed_EXIDEIND.csv,2018-10-01,2018-10-19,4.428560010463139,0.5542669173641226,38.94738983689693
3492,BullishReversal,1,5482.052947998033,209.71020210943345,218.78104295644863,24.912474111430495,processed_EXIDEIND.csv,2019-02-20,2019-03-01,33.000495918209296,0.2467858978007293,33.01498733915825
